Graph,Random Critical Fraction,Targeted Critical Fraction,Average Shortest Path Length,Average Clustering Coefficient,No. Connected Components
BA Funet,0.3076923076923077,0.038461538461538464,3.28,0.0,1
BA HiberniaIreland,0.5,0.125,1.75,0.0,1
BA BtLatinAmerica,0.29411764705882354,0.0196078431372549,3.816470588235294,0.0,1
BA Geant2009,0.47058823529411764,0.23529411764705882,2.5080213903743314,0.18344155844155843,1
BA Nordu2010,0.5,0.05555555555555555,2.6209150326797386,0.0,1
BA Psinet,0.375,0.041666666666666664,3.239130434782609,0.0,1
BA Roedunet,0.07142857142857142,0.023809523809523808,3.7642276422764227,0.0,1
BA Gambia,0.32142857142857145,0.03571428571428571,3.3994708994708995,0.0,1
BA Navigata,0.38461538461538464,0.07692307692307693,2.230769230769231,0.0,1
BA KentmanJan2011,0.18421052631578946,0.02631578947368421,3.759601706970128,0.0,1
BA Garr201008,0.23636363636363636,0.01818181818181818,4.0323232323232325,0.0,1
BA Jgn2Plus,0.5,0.05555555555555555,2.6209150326797386,0.0,1
BA Renater2008,0.18181818181818182,0.030303030303030304,3.537878787878788,0.0,1
BA Garr201102,0.21052631578947367,0.017543859649122806,3.9711779448621556,0.0,1
BA Marwan,0.375,0.0625,2.475,0.0,1
BA Quest,0.5,0.3,2.210526315789474,0.11285714285714285,1
BA Dataxchange,0.5,0.5,1.5333333333333334,0.27777777777777773,1
BA Sanren,0.5714285714285714,0.14285714285714285,1.7142857142857142,0.0,1
BA Garr200909,0.23636363636363636,0.01818181818181818,4.0323232323232325,0.0,1
BA AsnetAm,0.2,0.015384615384615385,4.2153846153846155,0.0,1
BA Xspedius,0.20588235294117646,0.029411764705882353,3.552584670231729,0.0,1
BA Globalcenter,0.5555555555555556,0.3333333333333333,1.4722222222222223,0.6703703703703704,1
BA VtlWavenet2011,0.2826086956521739,0.010869565217391304,4.86000955566173,0.0,1
BA Iris,0.29411764705882354,0.0196078431372549,3.816470588235294,0.0,1
BA GtsSlovakia,0.2,0.02857142857142857,3.6168067226890757,0.0,1
BA Integra,0.2962962962962963,0.037037037037037035,3.3732193732193734,0.0,1
BA Carnet,0.06818181818181818,0.022727272727272728,3.7684989429175477,0.0,1
BA Geant2012,0.425,0.225,2.6294871794871795,0.1353896103896104,1
BA Bbnplanet,0.2962962962962963,0.037037037037037035,3.3732193732193734,0.0,1
BA Belnet2008,0.38095238095238093,0.047619047619047616,3.0,0.0,1
BA Renater2001,0.375,0.041666666666666664,3.239130434782609,0.0,1
BA HiberniaGlobal,0.23636363636363636,0.01818181818181818,4.0323232323232325,0.0,1
BA Garr201201,0.21311475409836064,0.01639344262295082,4.104918032786885,0.0,1
BA Layer42,0.6666666666666666,0.16666666666666666,1.6666666666666667,0.0,1
BA PionierL3,0.18421052631578946,0.02631578947368421,3.759601706970128,0.0,1
BA Telecomserbia,0.6666666666666666,0.16666666666666666,1.6666666666666667,0.0,1
BA GtsRomania,0.38095238095238093,0.047619047619047616,3.0,0.0,1
BA Uran,0.375,0.041666666666666664,3.239130434782609,0.0,1
BA HurricaneElectric,0.5,0.25,2.322463768115942,0.1781084656084656,1
BA Bandcon,0.4090909090909091,0.045454545454545456,3.1125541125541125,0.0,1
BA Interoute,0.3,0.00909090909090909,4.751459549624688,0.0,1
BA Garr199901,0.375,0.0625,2.475,0.0,1
BA Spiralight,0.3333333333333333,0.06666666666666667,2.3047619047619046,0.0,1
BA Heanet,0.42857142857142855,0.2857142857142857,1.5714285714285714,0.3761904761904762,1
BA Highwinds,0.5555555555555556,0.3333333333333333,1.7843137254901962,0.37270723104056436,1
BA Agis,0.32,0.04,3.32,0.0,1
BA WideJpn,0.3333333333333333,0.03333333333333333,3.4275862068965517,0.0,1
BA Geant2010,0.40540540540540543,0.24324324324324326,2.5870870870870872,0.16522171522171522,1
BA TataNld,0.19310344827586207,0.006896551724137931,4.94272030651341,0.0,1
BA Ibm,0.5,0.05555555555555555,2.6209150326797386,0.0,1
BA Oteglobe,0.27956989247311825,0.010752688172043012,4.854604955586723,0.0,1
BA GtsPoland,0.18181818181818182,0.030303030303030304,3.537878787878788,0.0,1
BA Garr200212,0.2962962962962963,0.037037037037037035,3.3732193732193734,0.0,1
BA Singaren,0.45454545454545453,0.09090909090909091,1.9636363636363636,0.0,1
BA KentmanFeb2008,0.3076923076923077,0.038461538461538464,3.28,0.0,1
BA Cesnet200304,0.3448275862068966,0.034482758620689655,3.4039408866995076,0.0,1
BA Surfnet,0.3,0.02,3.820408163265306,0.0,1
BA Nordu2005,0.5555555555555556,0.1111111111111111,1.7777777777777777,0.0,1
BA Ntt,0.5106382978723404,0.3829787234042553,1.9176688251618872,0.29399202544268027,1
BA Arnes,0.20588235294117646,0.029411764705882353,3.552584670231729,0.0,1
BA NetworkUsa,0.2,0.02857142857142857,3.6168067226890757,0.0,1
BA Sanet,0.06976744186046512,0.023255813953488372,3.8028792912513842,0.0,1
BA Garr201112,0.21311475409836064,0.01639344262295082,4.104918032786885,0.0,1
BA Janetlense,0.5,0.3,2.210526315789474,0.11285714285714285,1
BA Ulaknet,0.2926829268292683,0.012195121951219513,4.634748569707919,0.0,1
BA Internode,0.21212121212121213,0.015151515151515152,4.205594405594406,0.0,1
BA Garr201010,0.21428571428571427,0.017857142857142856,4.001298701298701,0.0,1
BA GtsCe,0.24161073825503357,0.006711409395973154,4.947215672047887,0.0,1
BA BeyondTheNetwork,0.33962264150943394,0.018867924528301886,3.9085631349782295,0.0,1
BA Missouri,0.23880597014925373,0.014925373134328358,4.274084124830393,0.0,1
BA Sunet,0.5,0.2692307692307692,2.3476923076923075,0.20036630036630038,1
BA Garr201107,0.22033898305084745,0.01694915254237288,4.022209234365868,0.0,1
BA Karen,0.32,0.04,3.32,0.0,1
BA Restena,0.47368421052631576,0.05263157894736842,2.6783625730994154,0.0,1
BA Uunet,0.3673469387755102,0.22448979591836735,2.7797619047619047,0.11350237064522778,1
BA KentmanApr2007,0.43478260869565216,0.043478260869565216,3.2015810276679844,0.0,1
BA UsCarrier,0.24050632911392406,0.006329113924050633,4.989841167459486,0.0,1
BA Fatman,0.4117647058823529,0.058823529411764705,2.5441176470588234,0.0,1
BA Niif,0.19444444444444445,0.027777777777777776,3.7142857142857144,0.0,1
BA UsSignal,0.20634920634920634,0.015873015873015872,4.121863799283154,0.0,1
BA Twaren,0.45,0.05,2.8105263157894735,0.0,1
BA Pern,0.007874015748031496,0.007874015748031496,4.8763904511936005,0.0,1
BA Dfn,0.4827586206896552,0.1896551724137931,2.8342407743496674,0.14280925013683635,1
BA Cernet,0.07317073170731707,0.024390243902439025,3.7365853658536587,0.0,1
BA Bellcanada,0.3333333333333333,0.020833333333333332,3.853723404255319,0.0,1
BA Kdl,0.20291777188328913,0.001326259946949602,6.531384629475027,0.0,1
BA Bren,0.1891891891891892,0.02702702702702703,3.798798798798799,0.0,1
BA Nsfnet,0.38461538461538464,0.07692307692307693,2.230769230769231,0.0,1
BA Savvis,0.47368421052631576,0.05263157894736842,2.6783625730994154,0.0,1
BA BsonetEurope,0.5,0.05555555555555555,2.6209150326797386,0.0,1
BA Sprint,0.2727272727272727,0.45454545454545453,1.9090909090909092,0.24545454545454548,1
BA Cwix,0.19444444444444445,0.027777777777777776,3.7142857142857144,0.0,1
BA Garr201004,0.3333333333333333,0.018518518518518517,3.9685534591194966,0.0,1
BA Cynet,0.3333333333333333,0.03333333333333333,3.4275862068965517,0.0,1
BA Myren,0.1891891891891892,0.02702702702702703,3.798798798798799,0.0,1
BA Gridnet,0.2222222222222222,0.2222222222222222,1.75,0.2074074074074074,1
BA HiberniaNireland,0.5,0.05555555555555555,2.6209150326797386,0.0,1
BA Atmnet,0.38095238095238093,0.047619047619047616,3.0,0.0,1
BA Garr201109,0.22033898305084745,0.01694915254237288,4.022209234365868,0.0,1
BA Compuserve,0.35714285714285715,0.07142857142857142,2.318681318681319,0.0,1
BA AttMpls,0.48,0.24,2.3266666666666667,0.16955555555555557,1
BA Garr201103,0.29310344827586204,0.017241379310344827,3.966727162734422,0.0,1
BA Belnet2009,0.38095238095238093,0.047619047619047616,3.0,0.0,1
BA Garr201007,0.23636363636363636,0.01818181818181818,4.0323232323232325,0.0,1
BA Esnet,0.23529411764705882,0.014705882352941176,4.291922739244952,0.0,1
BA Napnet,0.6666666666666666,0.16666666666666666,1.6666666666666667,0.0,1
BA Switch,0.21621621621621623,0.013513513513513514,4.371343946686412,0.0,1
BA Garr201108,0.22033898305084745,0.01694915254237288,4.022209234365868,0.0,1
BA Belnet2003,0.4782608695652174,0.2608695652173913,2.308300395256917,0.1342650103519669,1
BA Arpanet19719,0.5,0.05555555555555555,2.6209150326797386,0.0,1
BA Pacificwave,0.4444444444444444,0.2777777777777778,2.1699346405228757,0.1394179894179894,1
BA KentmanJul2005,0.375,0.0625,2.475,0.0,1
BA HostwayInternational,0.375,0.0625,2.475,0.0,1
BA Shentel,0.32142857142857145,0.03571428571428571,3.3994708994708995,0.0,1
BA Marnet,0.45,0.05,2.8105263157894735,0.0,1
BA Intellifiber,0.2191780821917808,0.0136986301369863,4.334855403348554,0.0,1
BA Garr201001,0.3333333333333333,0.018518518518518517,3.9685534591194966,0.0,1
BA Zamren,0.19444444444444445,0.027777777777777776,3.7142857142857144,0.0,1
BA Basnet,0.5714285714285714,0.14285714285714285,1.7142857142857142,0.0,1
BA Nordu1989,0.5714285714285714,0.14285714285714285,1.7142857142857142,0.0,1
BA JanetExternal,0.4166666666666667,0.08333333333333333,2.106060606060606,0.0,1
BA Gblnet,0.5,0.125,1.75,0.0,1
BA Belnet2006,0.4782608695652174,0.2608695652173913,2.308300395256917,0.1342650103519669,1
BA Garr201005,0.23636363636363636,0.01818181818181818,4.0323232323232325,0.0,1
BA Vinaren,0.32,0.04,3.32,0.0,1
BA Garr200908,0.3333333333333333,0.018518518518518517,3.9685534591194966,0.0,1
BA Garr201105,0.22033898305084745,0.01694915254237288,4.022209234365868,0.0,1
BA Garr200112,0.375,0.041666666666666664,3.239130434782609,0.0,1
BA Cesnet200706,0.06818181818181818,0.022727272727272728,3.7684989429175477,0.0,1
BA Cesnet200511,0.07692307692307693,0.02564102564102564,3.721997300944669,0.0,1
BA GtsHungary,0.3333333333333333,0.03333333333333333,3.4275862068965517,0.0,1
BA Colt,0.21568627450980393,0.006535947712418301,4.968868249054007,0.0,1
BA DeutscheTelekom,0.4358974358974359,0.23076923076923078,2.622132253711201,0.13916638916638918,1
BA Nextgen,0.4117647058823529,0.058823529411764705,2.5441176470588234,0.0,1
BA Cesnet2001,0.43478260869565216,0.043478260869565216,3.2015810276679844,0.0,1
BA Intranetwork,0.07692307692307693,0.02564102564102564,3.721997300944669,0.0,1
BA Airtel,0.4375,0.375,2.1083333333333334,0.08958333333333333,1
BA Rnp,0.3225806451612903,0.03225806451612903,3.432258064516129,0.0,1
BA DialtelecomCz,0.18134715025906736,0.0051813471502590676,5.194624352331606,0.0,1
BA VtlWavenet2008,0.3409090909090909,0.011363636363636364,4.725444096133751,0.0,1
BA Biznet,0.3448275862068966,0.034482758620689655,3.4039408866995076,0.0,1
BA HiberniaUk,0.3333333333333333,0.06666666666666667,2.3047619047619046,0.0,1
BA Azrena,0.4090909090909091,0.045454545454545456,3.1125541125541125,0.0,1
BA Rediris,0.47368421052631576,0.3157894736842105,2.192982456140351,0.12055137844611528,1
BA Garr200902,0.3333333333333333,0.018518518518518517,3.9685534591194966,0.0,1
BA KentmanAug2005,0.32142857142857145,0.03571428571428571,3.3994708994708995,0.0,1
BA Arpanet19728,0.3448275862068966,0.034482758620689655,3.4039408866995076,0.0,1
BA Sago,0.5,0.05555555555555555,2.6209150326797386,0.0,1
BA RedBestel,0.27380952380952384,0.011904761904761904,4.682444061962134,0.0,1
BA Eunetworks,0.3333333333333333,0.06666666666666667,2.3047619047619046,0.0,1
BA Renater1999,0.375,0.041666666666666664,3.239130434782609,0.0,1
BA Kreonet,0.38461538461538464,0.07692307692307693,2.230769230769231,0.0,1
BA Ernet,0.3333333333333333,0.03333333333333333,3.4275862068965517,0.0,1
BA Garr201104,0.22033898305084745,0.01694915254237288,4.022209234365868,0.0,1
BA Ai3,0.5,0.1,1.8,0.0,1
BA Claranet,0.3333333333333333,0.06666666666666667,2.3047619047619046,0.0,1
BA UniC,0.32,0.04,3.32,0.0,1
BA Iinet,0.3225806451612903,0.03225806451612903,3.432258064516129,0.0,1
BA Arpanet19723,0.32,0.04,3.32,0.0,1
BA Renater2006,0.18181818181818182,0.030303030303030304,3.537878787878788,0.0,1
BA BtNorthAmerica,0.4166666666666667,0.25,2.5619047619047617,0.17166305916305916,1
BA Renater2010,0.06976744186046512,0.023255813953488372,3.8028792912513842,0.0,1
BA Ans,0.5,0.05555555555555555,2.6209150326797386,0.0,1
BA Packetexchange,0.38095238095238093,0.047619047619047616,3.0,0.0,1
BA Arn,0.3333333333333333,0.03333333333333333,3.4275862068965517,0.0,1
BA Sinet,0.21621621621621623,0.013513513513513514,4.371343946686412,0.0,1
BA Darkstrand,0.32142857142857145,0.03571428571428571,3.3994708994708995,0.0,1
BA Istar,0.43478260869565216,0.043478260869565216,3.2015810276679844,0.0,1
BA Rhnet,0.375,0.0625,2.475,0.0,1
BA Ntelos,0.3333333333333333,0.020833333333333332,3.853723404255319,0.0,1
BA Tw,0.35526315789473684,0.17105263157894737,2.9694736842105263,0.09546356229181714,1
BA RoedunetFibre,0.3333333333333333,0.020833333333333332,3.853723404255319,0.0,1
BA Janetbackbone,0.4827586206896552,0.27586206896551724,2.4261083743842367,0.18817733990147784,1
BA Grnet,0.1891891891891892,0.02702702702702703,3.798798798798799,0.0,1
BA Garr201111,0.21666666666666667,0.016666666666666666,4.102824858757062,0.0,1
BA Padi,0.3333333333333333,0.06666666666666667,2.3047619047619046,0.0,1
BA Aarnet,0.47368421052631576,0.05263157894736842,2.6783625730994154,0.0,1
BA Cesnet201006,0.34615384615384615,0.019230769230769232,3.8763197586727,0.0,1
BA Garr201101,0.21428571428571427,0.017857142857142856,4.001298701298701,0.0,1
BA Garr201003,0.3333333333333333,0.018518518518518517,3.9685534591194966,0.0,1
BA Getnet,0.5714285714285714,0.14285714285714285,1.7142857142857142,0.0,1
BA Itnet,0.45454545454545453,0.09090909090909091,1.9636363636363636,0.0,1
BA Eenet,0.38461538461538464,0.07692307692307693,2.230769230769231,0.0,1
BA Cesnet1997,0.38461538461538464,0.07692307692307693,2.230769230769231,0.0,1
BA Arpanet19706,0.5555555555555556,0.1111111111111111,1.7777777777777777,0.0,1
BA BtEurope,0.5,0.25,2.322463768115942,0.1781084656084656,1
BA Garr200404,0.4090909090909091,0.045454545454545456,3.1125541125541125,0.0,1
BA Ilan,0.35714285714285715,0.07142857142857142,2.318681318681319,0.0,1
BA Garr201012,0.21428571428571427,0.017857142857142856,4.001298701298701,0.0,1
BA HiberniaUs,0.4090909090909091,0.045454545454545456,3.1125541125541125,0.0,1
BA Globenet,0.31343283582089554,0.19402985074626866,2.9172320217096335,0.12303861390779741,1
BA Palmetto,0.37777777777777777,0.2,2.709090909090909,0.09897065897065897,1
BA Garr200109,0.4090909090909091,0.045454545454545456,3.1125541125541125,0.0,1
BA GtsCzechRepublic,0.3125,0.03125,3.4838709677419355,0.0,1
BA Amres,0.32,0.04,3.32,0.0,1
BA Renater2004,0.3333333333333333,0.03333333333333333,3.4275862068965517,0.0,1
BA Arpanet196912,0.25,0.25,1.5,0.0,1
BA Cesnet200603,0.07692307692307693,0.02564102564102564,3.721997300944669,0.0,1
BA Cogentco,0.17766497461928935,0.005076142131979695,5.2062571221381955,0.0,1
BA Garr199904,0.43478260869565216,0.043478260869565216,3.2015810276679844,0.0,1
BA Renam,0.6,0.2,1.6,0.0,1
BA Tinet,0.41509433962264153,0.20754716981132076,2.8200290275761972,0.14522196880687446,1
BA Abvt,0.43478260869565216,0.043478260869565216,3.2015810276679844,0.0,1
BA EliBackbone,0.5,0.3,2.210526315789474,0.11285714285714285,1
BA Columbus,0.12857142857142856,0.014285714285714285,4.292339544513458,0.0,1
BA Aconet,0.43478260869565216,0.043478260869565216,3.2015810276679844,0.0,1
BA York,0.43478260869565216,0.043478260869565216,3.2015810276679844,0.0,1
BA Telcove,0.2191780821917808,0.0136986301369863,4.334855403348554,0.0,1
BA Epoch,0.6666666666666666,0.16666666666666666,1.6666666666666667,0.0,1
BA Ion,0.008,0.008,4.861419354838709,0.0,1
BA Deltacom,0.40707964601769914,0.1504424778761062,3.1673514538558787,0.07574873504077043,1
BA TLex,0.4166666666666667,0.08333333333333333,2.106060606060606,0.0,1
BA Internetmci,0.47368421052631576,0.3157894736842105,2.192982456140351,0.12055137844611528,1
BA Bics,0.18181818181818182,0.030303030303030304,3.537878787878788,0.0,1
BA Bellsouth,0.29411764705882354,0.0196078431372549,3.816470588235294,0.0,1
BA LambdaNet,0.07142857142857142,0.023809523809523808,3.7642276422764227,0.0,1
BA Iij,0.40540540540540543,0.24324324324324326,2.5870870870870872,0.16522171522171522,1
BA Canerie,0.3125,0.03125,3.4838709677419355,0.0,1
BA CrlNetworkServices,0.18181818181818182,0.030303030303030304,3.537878787878788,0.0,1
BA Syringa,0.21621621621621623,0.013513513513513514,4.371343946686412,0.0,1
BA Noel,0.47368421052631576,0.05263157894736842,2.6783625730994154,0.0,1
BA Nsfcnet,0.5,0.1,1.8,0.0,1
BA Belnet2004,0.4782608695652174,0.2608695652173913,2.308300395256917,0.1342650103519669,1
BA Chinanet,0.4523809523809524,0.21428571428571427,2.6422764227642275,0.12673160173160172,1
BA Latnet,0.2318840579710145,0.014492753623188406,4.281329923273657,0.0,1
BA Oxford,0.45,0.05,2.8105263157894735,0.0,1
BA Belnet2007,0.38095238095238093,0.047619047619047616,3.0,0.0,1
BA SwitchL3,0.4523809523809524,0.21428571428571427,2.6422764227642275,0.12673160173160172,1
BA Fccn,0.43478260869565216,0.043478260869565216,3.2015810276679844,0.0,1
BA Uninett2010,0.21621621621621623,0.013513513513513514,4.371343946686412,0.0,1
BA HiberniaCanada,0.38461538461538464,0.07692307692307693,2.230769230769231,0.0,1
BA Garr199905,0.43478260869565216,0.043478260869565216,3.2015810276679844,0.0,1
BA Goodnet,0.5294117647058824,0.29411764705882354,2.1323529411764706,0.1495798319327731,1
BA Easynet,0.47368421052631576,0.3157894736842105,2.192982456140351,0.12055137844611528,1
BA Garr201110,0.22033898305084745,0.01694915254237288,4.022209234365868,0.0,1
BA Digex,0.3225806451612903,0.03225806451612903,3.432258064516129,0.0,1
BA Litnet,0.06976744186046512,0.023255813953488372,3.8028792912513842,0.0,1
